pickup_datetime,dropoff_datetime,trip_duration,trip_distance,total_amount,max_precipitation,avg_temperature
2016-06-17 15:39:54,2016-06-17 17:28:22,6508.0,17.34,58.34,0.0,18.07777777777778
2016-06-04 16:58:54,2016-06-04 18:00:43,3709.0,17.7,52.8,0.0,21.288888888888888
2016-06-17 11:05:29,2016-06-17 11:50:11,2682.0,17.1,70.0,0.0,23.3
2016-06-09 12:11:20,2016-06-09 12:45:05,2025.0,15.77,70.01,0.0,10.125
2016-06-07 14:28:17,2016-06-07 15:21:14,3177.0,16.45,70.01,0.0,23.67142857142857
2016-05-24 17:12:02,2016-05-24 18:09:44,3462.0,16.29,62.84,0.0,17.7
2016-05-30 14:13:58,2016-05-30 14:55:04,2466.0,17.3,60.8,0.0,25.0
2016-06-10 18:05:04,2016-06-10 19:23:03,4679.0,17.6,70.84,0.0,20.1
2016-06-21 12:45:24,2016-06-21 13:37:58,3154.0,18.4,60.8,0.0,24.516666666666666
2016-06-08 14:04:49,2016-06-08 15:33:11,5302.0,16.44,58.34,9.35,9.744444444444444
2016-05-15 06:35:34,2016-05-15 06:59:32,1438.0,17.4,69.99,0.0,10.466666666666667
2016-06-18 12:01:07,2016-06-18 13:02:17,3670.0,16.95,58.34,0.0,14.433333333333334
2016-05-05 15:11:56,2016-05-05 16:23:52,4316.0,17.4,58.34,0.0,13.6
2016-06-13 03:43:44,2016-06-13 04:08:09,1465.0,17.6,64.34,0.0,7.6
2016-05-30 13:01:58,2016-05-30 13:35:11,1993.0,0.0,69.99,0.0,25.9
2016-05-22 11:10:57,2016-05-22 11:38:57,1680.0,16.56,72.92,0.0,18.7
2016-05-20 12:00:37,2016-05-20 12:40:27,2390.0,17.2,66.34,0.0,22.6
2016-06-15 16:07:33,2016-06-15 18:01:06,6813.0,18.7,68.75,0.0,22.58888888888889
2016-06-22 09:02:28,2016-06-22 09:44:57,2549.0,0.0,69.99,0.0,17.766666666666666
2016-05-12 07:40:53,2016-05-12 08:27:03,2770.0,21.9,58.34,0.0,14.716666666666667
2016-06-19 09:07:44,2016-06-19 09:32:02,1458.0,17.24,58.34,0.0,15.933333333333334
2016-06-12 11:45:14,2016-06-12 12:14:03,1729.0,17.1,68.34,0.0,18.433333333333334
2016-05-19 15:08:59,2016-05-19 16:34:51,5152.0,21.93,70.01,0.0,17.4
2016-06-23 14:54:56,2016-06-23 16:47:07,6731.0,18.8,68.6,0.0,23.77777777777778
2016-05-12 13:15:02,2016-05-12 14:15:17,3615.0,16.9,58.34,0.0,22.56
2016-05-25 15:04:42,2016-05-25 16:05:10,3628.0,16.2,65.34,0.0,15.633333333333333
